settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,religion,religion_idx,overall_population_2020,altitude_avg,crime_score_percent,district_name,district_idx,T,S,R,Q,P,O,N,M,L,K,J,  I,  H,G,F,E,D,B-C,A,nature_rate
שדרות,"1,031",22.94,0.73,78.44,69.46,17.65,34.2,3.99,524,29.39,10.17,3.06,-0.72,-0.74,-0.35,0.01,-0.29,-1.645264531,0.875744263,יהודי,1,29074,89,5.606383711,אשקלון,1,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.580192747
באר יעקב,"2,530",29.06,1.14,71.27,50.91,33.83,19.6,1.91,620,30.48,9.55,3.06,-0.05,-0.02,0.3,0.63,0.75,-0.387944783,,יהודי,1,29015,66,0.937446149,רמלה,15,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11,3.7,,,10,,0.38030179
גדרה,"2,550",27.7,0.79,87.7,78.42,42.77,43.7,3.04,630,42.54,10.57,3.04,1.25,1.39,0.82,0.92,0.77,-1.566843274,,יהודי,1,28896,57,5.838178295,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.432425966
גבעת שמואל,681,28.64,0.47,90.76,88.8,57.95,62.8,5.6,447,36.02,13.09,2.37,-1.26,-0.99,-1.52,-1.85,-1.6,4.489135057,,יהודי,1,27249,48,1.412895886,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.460083004
ערד,"2,560",21.62,1.27,51.48,42.3,12.36,22.9,1.53,448,30.36,11.68,2.48,-0.19,-0.53,0.15,1.13,0.57,-1.90271326,0.783436434,יהודי,1,27208,488,5.325639518,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.292454532
טירה,"2,720",26.18,0.47,62.48,49.71,16.47,34.1,3.05,590,35.59,10.08,3.17,-0.93,-0.95,-0.86,-0.93,-0.88,-0.297657153,,לא יהודי,3,27036,61,4.175913597,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.349710579
עראבה,531,26.54,1.19,77.65,62.94,16.18,30.2,2.96,607,39.21,11.68,2.88,-0.5,-0.62,-0.8,-1.39,-1.27,-1.837706166,,לא יהודי,3,26252,247,0.072375438,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.895662152
כפר יונה,168,26.93,0.62,80.3,64.18,35.76,37.3,2.29,409,39.85,13.66,2.36,0.77,0.47,0.64,0.75,1.14,-1.5549769,,יהודי,1,26182,42,1.52394775,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.316365147
מגדל העמק,874,23.51,2.22,64.94,46.34,13.83,30.2,2.13,684,29.82,7.59,4.26,-0.54,-0.49,-0.64,-1.86,-1.48,-1.702532685,,יהודי,1,25722,205,3.374543193,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.627991616
ערערה,637,27.24,1.21,68.07,57.78,14.85,17.9,2.32,424,31.84,12.74,2.57,-0.55,-0.54,-0.41,-1.92,-1.08,-1.807782266,,לא יהודי,3,25530,173,0.144927536,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.630451934
קריית מלאכי,"1,034",23.56,1.35,65.2,54.86,12.15,27.1,2.07,569,36.03,9.77,3.16,-1.05,-1.06,-0.89,0.3,-0.34,-1.802622972,0.895776986,יהודי,1,24384,63,,אשקלון,1,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.514409567
טירת כרמל,"2,100",23.09,0.95,75.53,59.92,17.39,24.3,2.21,432,33.33,9.14,3.51,-0.93,-0.96,-0.52,0.44,-0.04,-1.463657411,,יהודי,1,24296,44,3.383272967,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,1.281363961
כפר קאסם,634,26.36,1.13,70.66,53.28,12.02,23.1,2.75,593,39.63,10.23,3.09,-0.62,-0.36,-0.63,-1.33,-0.77,1.596319372,,לא יהודי,3,24256,84,1.034795515,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.577239768
מבשרת ציון,"1,015",24.53,0.9,80.73,70.1,42.52,51.7,4.22,426,45.54,10.98,2.78,0.73,1.2,0.8,0.86,0.97,-1.423414924,,יהודי,1,24247,719,3.406607003,ירושלים,9,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.056181649
יקנעם עילית,240,28.17,0.5,80.56,68.03,38.99,37.8,2.87,412,38.59,13.63,2.33,0.73,0.48,0.41,0,0.19,-1.648360106,,יהודי,1,24091,153,3.453571873,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.062175661
נשר,"2,500",24.77,1.61,78.48,65.47,29.66,48.4,4.68,301,43.19,12.6,2.57,0.83,0.55,0.84,0.89,0.62,-1.336738799,0.886201655,יהודי,1,24039,157,4.064228961,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,1.274132519
גן יבנה,166,28.24,1.05,84.54,77.32,32.69,43.2,3.79,446,41.26,13.88,2.34,-1.04,-1.24,-2.21,-2.26,-1.8,-1.640105237,0.892316779,יהודי,1,23925,39,2.654127482,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.585222151
קלנסווה,638,28.05,0.64,59.06,49.9,11.7,26,2.92,526,34.6,12.6,2.59,-1.34,-0.97,-1.3,-1.71,-1.68,-0.954951103,,לא יהודי,3,23512,37,0.102075536,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.261492035
זכרון יעקב,"9,300",26.7,1.11,85.53,81.65,52.58,49.3,3.56,511,38.75,12.09,2.34,1.5,1.61,1.26,0.7,0.9,-1.722137999,,יהודי,1,23437,78,5.209711141,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.993050742
מגאר,481,25.53,0.79,76.59,59.55,13.24,37.7,2.98,511,40.31,10.76,3.03,-0.45,-0.59,-0.15,0.52,-0.1,-1.845445106,,לא יהודי,3,23275,147,0.034371643,כנרת,10,1,3.4,,11.9,14.3,14.3,5.5,3,,1.6,1.3,7.7,4.2,11.7,5.6,,,10.2,2.5,1.230637552
כפר כנא,509,25.71,1.37,65.75,51.16,10.77,29.6,2.53,550,31.82,11.55,2.74,-1.19,-0.89,-1.16,-1.43,-1.1,-1.813973417,,לא יהודי,3,23265,229,0.103159252,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.754311455
חורה,"1,303",25.9,2.72,54.46,41.23,10.6,23,1.99,733,22.37,7.48,4.57,-1.11,-0.4,-1.26,-0.53,-0.72,-1.812941559,,לא יהודי,3,23103,416,3.592607021,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.793260593
כסיפה,"1,059",26.55,2.21,51.69,40.73,12.2,21.1,2.28,694,26.37,7.96,4.23,-0.29,-0.99,-1.11,-2.44,-1.37,-1.90271326,0.758471761,לא יהודי,3,22484,466,1.000711617,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.05106406
קריית שמונה,"2,800",23.32,0.62,63.4,51.31,14.34,38.5,4.43,545,35.78,8.14,3.93,-0.69,-0.85,-0.12,1.01,0.15,-1.887235381,,יהודי,1,22363,208,,צפת,13,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,,1.5,0.9,8.6,4.5,8,3.7,,,14.8,6.8,0.759606079
מעלות-תרשיחא,"1,063",23.89,1.19,69.73,60.83,18.36,42.6,2.75,519,34.49,8.62,3.72,-0.26,-0.67,0.28,0.28,-0.28,-1.848540682,,ישוב מעורב,2,22122,518,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.389034841
תל שבע,"1,054",26.41,3.1,40.58,23.06,7.39,11.2,1.59,669,19.73,10.36,3.24,-1.65,-1.44,-4.88,0.64,-0.87,-1.812425629,,לא יהודי,3,21554,312,0.143824812,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.802833741
גני תקווה,229,27.48,0.82,83.61,80.33,53.99,56.2,2.91,330,35.76,13.83,2.17,0.75,0.5,0.52,0.3,-0.96,4.340031484,,יהודי,1,21551,74,1.289963343,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.448572647
ג'דיידה-מכר,"1,292",24.3,1.87,61.5,53.46,10.03,33.4,2.24,448,35.94,10.59,3.06,-0.15,0.15,0.37,-0.08,-0.13,-1.904776977,,לא יהודי,3,21336,38,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.747551481
שוהם,"1,304",26.4,0.35,91.91,88.8,59.41,64.8,5.97,429,48.95,12.38,2.57,2.14,2.17,1.52,0.1,0.45,0.731621836,,יהודי,1,21014,96,1.927286571,רמלה,15,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11,3.7,,,10,,0.837523253
כפר מנדא,510,25.71,1.67,79.09,49.28,10.46,18.3,2.13,507,32.54,10.34,3.14,-1.18,-0.76,-1.31,-0.51,-1.09,-1.785081376,,לא יהודי,3,20622,178,0.237610319,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.36829209
אריאל,"3,570",25.92,2.09,90.36,77.11,24.13,37,11.98,329,41.95,10.8,3.11,0.08,-0.5,0.34,0.33,0.19,-1.901165472,1.116133719,יהודי,1,19582,520,8.308650802,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.336859114
אור עקיבא,"1,020",23.38,0.84,82.74,69.03,14.65,27.2,1.97,431,43.16,8.39,3.68,-0.59,-0.95,-0.26,-0.13,-0.29,-1.722137999,,יהודי,1,19447,15,3.193294596,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.6929597
יפיע,499,26.47,1.39,69.81,60.92,12.16,37,3.05,424,43.63,11.57,2.72,-0.76,-0.37,-0.74,-1.07,-0.89,-1.702016756,,לא יהודי,3,19301,293,0.212424227,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.586938425
כפר קרע,654,28.04,0.48,59.82,52.79,17.97,32.5,2.63,475,38.53,9.78,3.24,-0.37,-0.23,-0.1,-0.29,-0.69,-1.724201716,,לא יהודי,3,19294,109,0.031097751,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.677494914
גבעת זאב,"3,730",24.19,2.09,46.94,38.37,22.05,34.9,2.91,195,32.82,27.8,0.99,-0.45,-0.47,-0.65,-1.39,-1.05,-1.589028235,,יהודי,1,19225,730,2.434330299,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.676550815
ריינה,542,27.79,2.25,59.32,51.19,8.92,22.4,2.24,316,37.03,14.14,2.24,-1.04,-0.73,-0.81,-0.99,-1,-1.808298195,,לא יהודי,3,19141,318,0.02089755,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.728018508
ערערה-בנגב,"1,192",25.94,1.64,25.41,13.51,7.26,12.4,1.17,639,26.92,9.69,3.56,-1.26,-0.98,-3.96,-0.17,-1.09,-1.903229189,,לא יהודי,3,18952,458,,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.034239669
בית שאן,"9,200",22.93,1.05,64.18,50,13.14,30.7,2.44,473,38.9,9.07,3.58,-1.02,-1,-0.41,0.87,-0.35,-1.90271326,,יהודי,1,18705,-131,2.427158514,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.02733654
קריית טבעון,"2,300",27.09,1.28,80.8,78.13,54.58,50.1,3.9,342,40.35,9.44,3.25,1.42,1.65,1.37,1.09,1.09,-1.639589308,0.864529218,יהודי,1,18312,114,,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,1.296491442
ירכא,502,25.03,0.72,80.92,50.33,12.34,26.3,3.05,505,27.92,7.84,3.86,-1.09,-0.7,-1.18,-1.54,-1.48,-1.840801742,,לא יהודי,3,17405,252,0.022981902,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.976630861
ג'סר א-זרקא,541,26.98,4.64,37.5,25,2.09,9.4,0.83,391,30.69,10.24,3.13,-0.8,-0.8,-1,-1.12,-1.07,-1.724201716,,לא יהודי,3,15127,11,,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,1.087423041
מזכרת בתיה,28,28.21,0.45,83.89,78.86,53.79,50,3.56,323,43.34,13.31,2.43,1.28,1.35,1.04,0.61,0.95,-1.492033523,,יהודי,1,15093,62,1.093222023,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.419308482
אכסאל,478,27.46,0.31,59.24,50,13.55,24.7,2.47,395,31.9,9.81,3.12,-0.88,-1.09,-1.12,-1.15,-1.52,-1.808814124,,לא יהודי,3,14939,125,0.026775554,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.553208786
לקיה,"1,060",26.56,2.25,43.91,30.26,9.65,14.1,1.87,498,24.1,9.17,3.68,-1.64,-1.15,-1.87,-0.81,-0.99,-1.787661022,,לא יהודי,3,14642,391,2.786504576,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.783744556
טורעאן,498,26.05,3.51,65.27,51.88,14.52,26.9,2.89,307,24.76,11.91,2.65,-0.32,-0.2,-0.8,-0.57,-0.21,-1.852152187,,לא יהודי,3,14436,244,0.193959546,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.928137955
אבו סנאן,473,25.52,1.79,65.81,52.56,12.09,28.5,2.32,293,32.08,10.11,3.12,-0.62,-0.43,-0.69,-1.62,-1,-1.836674307,,לא יהודי,3,14306,71,0.055920593,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.800688497
כאבול,504,24.84,0.61,80.47,59.77,15.17,35.6,3.18,256,30.08,12.34,2.73,-0.72,-0.63,-0.9,-0.86,-0.94,-1.904776977,,לא יהודי,3,14243,77,1.326967633,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.804419299
אבן יהודה,182,28.36,0.84,83.96,76.89,55.59,46.1,3.03,318,44.03,10.52,2.9,1.37,1.18,1.03,0.72,1.21,-0.387944783,,יהודי,1,14020,36,0.770328103,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.55505301
עין מאהל,532,23.15,0.52,34.93,26.27,9.3,21.3,1.96,295,38.64,12.19,2.72,-0.96,-0.84,-0.94,-0.06,-0.29,-1.808298195,,לא יהודי,3,13568,403,0.095813679,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.684710085
אעבלין,529,28.21,1.09,58.13,52.85,12.12,40.3,2.54,374,38.5,9.11,3.53,-0.74,-0.69,-1.33,-0.76,-0.64,-1.861438915,,לא יהודי,3,13547,87,0.132870746,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.739653731
תל מונד,154,27.88,0.59,91.48,86.3,53.31,54.8,3.56,290,42.41,12.23,2.45,2.11,2.29,1.16,0.79,1.13,-0.385881066,,יהודי,1,13492,46,0.763415357,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.415178996
פוריידיס,537,26.95,0.53,72.83,46.42,8.63,17,1.9,326,39.26,10.51,3.13,-0.94,-0.92,-1.29,-1.88,-2.06,-1.735552161,,לא יהודי,3,13450,50,0.05204461,חדרה,5,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.945368498
אזור,565,26.31,0.96,76.67,70,21.82,36.1,2.29,120,38.33,21.16,1.51,-0.06,0.02,0.2,1,0.75,3.272573726,,יהודי,1,13332,26,2.04770477,תל אביב,16,2.2,2.7,3.4,10.6,10.4,7.4,4,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3,0.2,0.3,6.7,0.1,0.358151858
נחף,522,25.65,1.13,41.11,33.1,12.44,38.1,3.11,361,38.78,9.86,3.4,-0.99,-0.9,-1.03,-1.7,-1.58,-1.809845983,,לא יהודי,3,13331,315,0.052509189,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.274114519
רכסים,922,24.21,1.32,15.93,7.14,7.82,20.7,1.12,204,7.35,13.1,1.76,-1.35,-0.08,0.11,-0.96,-0.79,-1.295464453,,יהודי,1,13265,96,0.987561251,חיפה,6,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5,10,4,0.2,1.4,13.4,0.2,1.391748413
בית ג'ן,480,25.75,0.56,92.31,82.05,15.76,36.1,3.52,239,42.26,11.54,2.9,-0.72,-0.71,-0.86,-1.45,-1.35,-1.852152187,,לא יהודי,3,12151,901,0.106987079,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,2.542168548
שגב-שלום,"1,286",27.15,6.92,36.41,30.98,7.6,12.2,1.3,464,26.08,6.7,5.16,-1.16,-0.88,-2.58,0.72,-0.74,-1.812425629,,לא יהודי,3,11363,318,,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.892455382
מג'דל שמס,"4,201",24.87,,68.69,56.06,7.42,41.4,3.05,254,32.68,9.92,3.36,-0.98,-0.81,-0.85,-1.53,-1.23,-1.904776977,,לא יהודי,3,11267,1229,13.32209106,גולן,3,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,1.39899233
קריית עקרון,469,26.62,1.62,72.46,55.07,15.5,35.7,2.68,134,43.28,17.66,1.63,-0.77,-0.87,-0.22,0.16,0.19,-1.492549453,,יהודי,1,11077,55,,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.39979351
ירוחם,831,21.62,1.93,65.19,56.33,21.43,39.9,3.1,255,33.73,9.1,3.45,-0.95,-1,-0.29,0.27,-0.52,-1.904776977,0.779227419,יהודי,1,10773,518,3.889353012,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.691696714
דבורייה,489,26.26,0.53,59.36,51.6,16.21,40,3.35,208,38.94,13.5,2.47,-0.83,-0.68,-0.54,-1.53,-1.52,-1.809845983,,לא יהודי,3,10682,158,,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.907456162
דייר חנא,492,25.21,2.28,89.33,67.98,15.33,29.4,3.32,200,40.5,12.39,2.61,-0.46,-0.49,-0.58,-1.38,-1.15,-1.838222095,,לא יהודי,3,10486,226,1.668891856,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.973300644
ג'לג'וליה,627,27.2,3.62,61.71,52.57,10.28,23.6,2.5,238,31.93,10.32,3,1.89,1.54,1.34,1.09,0.8,3.666227795,,לא יהודי,3,10356,37,1.264967169,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.47379485
כפר יאסיף,507,28.42,0.95,71.82,68.51,20.97,33.6,3.08,217,41.01,10.27,3.2,-0.24,-0.06,-0.02,-1.11,-0.72,-1.85731148,,לא יהודי,3,10244,58,16.17532214,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.782668494
בועיינה-נוג'ידאת,482,23.88,1.11,64.56,45.63,10.68,31.8,2.91,255,37.65,10.6,3.18,-0.97,-0.63,-1.24,-0.98,-1.11,-1.830999085,,לא יהודי,3,9996,216,,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.871119425
מיתר,"1,268",29.14,,88.24,84.97,63.52,50,4.63,196,37.24,13.49,2.44,2.33,2.25,1.55,1.03,1.63,-1.87227343,,יהודי,1,9980,457,2.414829659,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.836281507
ביר אל-מכסור,998,23.81,,41.67,33.33,7.88,15.5,1.74,234,36.75,11.74,2.81,-1.2,-1.15,-1.56,-0.71,-1.14,-1.792304386,,לא יהודי,3,9730,243,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.969367391
חצור הגלילית,"2,034",19.76,1.43,50.78,38.28,13.11,19.2,2.25,287,34.84,7.96,3.8,-1.02,-0.94,-0.43,0.41,-0.55,-1.903229189,,יהודי,1,9569,431,2.821611454,צפת,13,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,,1.5,0.9,8.6,4.5,8,3.7,,,14.8,6.8,1.303447017
קרני שומרון,"3,640",27.64,0.86,76.32,67.54,38.94,,4.64,246,35.37,8.85,3.5,0.73,0.82,0.76,0.19,0.55,-1.817584923,,יהודי,1,9417,316,1.146862058,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,1.540373186
אורנית,"3,760",27.74,0.8,83.7,78.52,48.79,,3.45,169,42.6,17.55,1.8,1.11,1.23,0.95,0.97,1.65,0.202278356,,יהודי,1,8965,125,1.104294479,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.481840617
כסרא-סמיע,"1,296",24.48,1.24,93.29,55.7,13.11,18.3,2.47,245,35.51,8.92,3.58,-1.33,-1.17,-1.87,-0.97,-1.41,-1.843381389,,לא יהודי,3,8965,624,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.430954569
כוכב יאיר,"1,224",26.49,0.3,93.37,89.16,62.77,55,5.24,115,51.3,17.92,1.73,2.17,2.12,1.44,0.82,1.21,-0.56439261,,יהודי,1,8735,95,1.900400687,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.39645204
