settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,dist_num,religion_num,overall_population_2020,altitude_avg,education_quality_measures,education_success,educated_population,crime_score_percent,religion,district_name,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,B-C,A,nature_rate,job_demands,log_population,large_district
אשקלון,"7,100",27.83,1.1,72.04,63.87,19.22,38.4,2.37,"2,585",33.27,10.42,3.08,-0.15,-0.49,-0.05,0.74,0.35,-1.8433813890000001,0.958378471,61,1.0,146519.0,36.0,0.12062903859249408,1.8307820918906248,1.638601056730482,4.376906749295313,יהודי,אשקלון,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.941640401473114,2958,11.894910391862636,south
רחובות,"8,400",27.77,1.23,77.01,67.68,39.02,42.4,3.16,"2,695",39.07,10.62,2.9,0.71,0.63,0.56,0.69,0.51,-1.4167078430000002,0.8223730020000001,44,1.0,146095.0,51.0,0.19862258649461706,1.9846591875610917,2.4972917444691896,2.013758171053082,יהודי,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4280079168719389,4319,11.892012374018327,center
בית שמש,"2,610",24.98,2.51,35.69,29.77,10.43,26.6,1.63,"2,563",24.7,12.1,2.31,-0.17,-0.3,0.19,-1.07,-0.69,-1.689634452,0.814041463,11,1.0,132544.0,302.0,-0.11542956192507536,0.7035947310597299,1.5092613947570928,1.9616127474649927,יהודי,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,0.9558979915223016,1206,11.794669944755256,jerusalem
בת ים,"6,200",24.54,1.54,74.03,62.75,9.8,27.2,1.45,"1,883",35.53,10.29,3.09,-0.35,-0.79,-0.15,0.17,-0.13,3.3092047069999997,1.011472185,53,1.0,127803.0,22.0,0.39298633995378707,1.5912844340214265,1.301494361589509,4.7330657339812054,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.4441395731922491,5847,11.75824529482846,center
כפר סבא,"6,900",27.2,0.79,81.36,74.48,47.69,45.6,2.64,"1,877",42.35,9.96,3.08,1.02,0.71,0.76,0.89,0.85,3.4902958980000003,0.8785504590000001,42,1.0,101830.0,52.0,0.37228313560796555,2.2104300476987735,2.695349702732146,2.315624079347933,יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.4642820831485334,4024,11.53106003516571,center
הרצלייה,"6,400",28.05,1.35,84.38,77.68,44.95,51.1,3.4,"1,522",41.85,10.59,2.89,1.14,0.78,0.78,1.43,1.47,4.390592557,,51,1.0,98966.0,38.0,0.2380925985412653,2.318673626179433,2.767063495581303,2.741345512600287,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.6947782076400231,3837,11.502531635786212,center
חדרה,"6,500",26.42,1.12,68.27,57.54,22.25,31.4,2.24,"1,767",34.8,10.37,2.91,-0.17,-0.36,0.11,0.64,0.49,-1.582837083,0.932882195,32,1.0,98908.0,19.0,0.2081923524772349,1.5918951887635315,1.7142929981961086,3.1736563270918428,יהודי,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.5258436598703583,2415,11.501945404127065,north_west
לוד,"7,000",25.67,1.73,57.07,44.47,11.39,25.3,1.97,"1,770",33.84,10.81,2.87,-0.67,-0.88,-0.56,0.14,-0.23,-0.65519617,,43,4.0,80932.0,57.0,0.21191254008922095,1.1532745518017138,1.2184681600735265,5.738150546137498,ישוב מעורב,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,0.0,0.0,10.0,,0.38629889811564944,3936,11.301364574899084,center
מודיעין עילית,"3,797",27.87,1.96,3.2,1.85,3.79,53.8,3.78,"1,058",4.35,18.85,1.07,1.79,1.56,1.31,0.02,0.6,-1.786629164,,74,1.0,77967.0,293.0,-1.27536213973944,0.5957777264272807,2.571501261519255,3.3578308771659806,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,,0.5696315669845436,892,11.26404093922636,jerusalem
נצרת,"7,300",29.17,1.58,56.49,45.14,15.01,34.0,2.82,"1,882",36.98,9.94,3.14,-0.57,-0.44,-0.55,-0.71,-0.74,-1.808298195,,25,2.0,77792.0,347.0,0.14268254287098214,1.327286550904463,1.4528430725579264,1.2533422459893049,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.6411973279833517,1494,11.26179387711585,far_east_north
