settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,dist_num,religion_num,overall_population_2020,altitude_avg,education_quality_measures,education_success,educated_population,crime_score_percent,religion,district_name,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,B-C,A,nature_rate,job_demands,log_population,large_district
אבן יהודה,182,28.36,0.84,83.96,76.89,55.59,46.1,3.03,318,44.03,10.52,2.9,1.37,1.18,1.03,0.72,1.21,-0.38794478299999996,,41,1.0,14020.0,36.0,0.2689474961856182,2.2686930479837755,3.0544468179616624,0.7703281027104136,יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.5550530098789023,3185,9.54824016058858,center
עין מאהל,532,23.15,0.52,34.93,26.27,9.3,21.3,1.96,295,38.64,12.19,2.72,-0.96,-0.84,-0.94,-0.06,-0.29,-1.808298195,,25,2.0,13568.0,403.0,0.39525620536403816,0.7698257158650125,1.0693479407833548,0.09581367924528301,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.6847100847369946,1494,9.515469358031684,far_east_north
אעבלין,529,28.21,1.09,58.13,52.85,12.12,40.3,2.54,374,38.5,9.11,3.53,-0.74,-0.69,-1.33,-0.76,-0.64,-1.861438915,,24,2.0,13547.0,87.0,0.36005640569646635,1.5954045382775595,1.183561866936521,0.13287074629069168,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.739653730615904,1555,9.513920399580737,north_west
תל מונד,154,27.88,0.59,91.48,86.3,53.31,54.8,3.56,290,42.41,12.23,2.45,2.11,2.29,1.16,0.79,1.13,-0.385881066,,41,1.0,13492.0,46.0,0.09851309146274001,2.6365940062628477,3.464411198433907,0.76341535724874,יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.41517899627493177,4024,9.50985219618154,center
פוריידיס,537,26.95,0.53,72.83,46.42,8.63,17.0,1.9,326,39.26,10.51,3.13,-0.94,-0.92,-1.29,-1.88,-2.06,-1.735552161,,32,2.0,13450.0,50.0,0.31477241951859536,1.3193115581957238,0.9921040286442628,0.05204460966542751,לא יהודי,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.9453684982715326,2415,9.506734385029985,north_west
אזור,565,26.31,0.96,76.67,70.0,21.82,36.1,2.29,120,38.33,21.16,1.51,-0.06,0.02,0.2,1.0,0.75,3.272573726,,53,1.0,13332.0,26.0,-0.4290827766133134,1.921358815377891,1.8210917487562406,2.0477047704770475,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.3581518579961481,5847,9.497922439427631,center
נחף,522,25.65,1.13,41.11,33.1,12.44,38.1,3.11,361,38.78,9.86,3.4,-0.99,-0.9,-1.03,-1.7,-1.58,-1.8098459830000002,,24,2.0,13331.0,315.0,0.4772969004959654,1.150783131561968,1.1867590434003146,0.05250918910809392,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.274114518742253,778,9.497847429113676,north_west
רכסים,922,24.21,1.32,15.93,7.14,7.82,20.7,1.12,204,7.35,13.1,1.76,-1.35,-0.08,0.11,-0.96,-0.79,-1.295464453,,31,1.0,13265.0,96.0,-0.5994995429754283,0.2600627958681353,1.1759747737522377,0.9875612514134942,יהודי,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,1.3917484134468203,2369,9.49288426657184,north_west
בית ג'ן,480,25.75,0.56,92.31,82.05,15.76,36.1,3.52,239,42.26,11.54,2.9,-0.72,-0.71,-0.86,-1.45,-1.35,-1.852152187,,24,2.0,12151.0,901.0,0.36655512676074564,2.263949220325658,1.3956369404185442,0.1069870792527364,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,2.542168547818345,778,9.405166749908611,north_west
שגב-שלום,"1,286",27.15,6.92,36.41,30.98,7.6,12.2,1.3,464,26.08,6.7,5.16,-1.16,-0.88,-2.58,0.72,-0.74,-1.812425629,,62,2.0,11363.0,318.0,0.6354662584710196,0.0020207103144994076,0.6866596316980939,12.311889465810086,לא יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.8924553817750754,568,9.338117741918008,south
מג'דל שמס,"4,201",24.87,,68.69,56.06,7.42,41.4,3.05,254,32.68,9.92,3.36,-0.98,-0.81,-0.85,-1.53,-1.23,-1.9047769769999998,,29,2.0,11267.0,1229.0,0.3872922240615402,1.7207831728350447,1.1533596144944451,13.322091062394604,לא יהודי,גולן,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,1.3989923302189136,778,9.329633378164166,far_east_north
קריית עקרון,469,26.62,1.62,72.46,55.07,15.5,35.7,2.68,134,43.28,17.66,1.63,-0.77,-0.87,-0.22,0.16,0.19,-1.492549453,,44,1.0,11077.0,55.0,-0.18908694174337282,1.6344166777566258,1.3711741654960934,3.574975173783516,יהודי,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.3997935095126211,4319,9.312626165516933,center
ירוחם,831,21.62,1.93,65.19,56.33,21.43,39.9,3.1,255,33.73,9.1,3.45,-0.95,-1.0,-0.29,0.27,-0.52,-1.9047769769999998,0.779227419,62,1.0,10773.0,518.0,0.6750255673969422,1.6140214516442384,1.4191883292113094,3.8893530121600293,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.6916967142137849,568,9.284798282894192,south
דבורייה,489,26.26,0.53,59.36,51.6,16.21,40.0,3.35,208,38.94,13.5,2.47,-0.83,-0.68,-0.54,-1.53,-1.52,-1.8098459830000002,,23,2.0,10682.0,158.0,0.09019903629323323,1.6480314388501704,1.4143280632980024,0.9829619921363041,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.9074561623497476,1494,9.276315360899716,far_east_north
דייר חנא,492,25.21,2.28,89.33,67.98,15.33,29.4,3.32,200,40.5,12.39,2.61,-0.46,-0.49,-0.58,-1.38,-1.15,-1.838222095,,24,2.0,10486.0,226.0,0.26582862191664924,1.7747310954445417,1.514507298453722,1.6688918558077435,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9733006437117264,1555,9.257796313132479,north_west
ג'לג'וליה,627,27.2,3.62,61.71,52.57,10.28,23.6,2.5,238,31.93,10.32,3.0,1.89,1.54,1.34,1.09,0.8,3.666227795,,42,2.0,10356.0,37.0,0.11851735485139381,1.063614794786569,2.5766672994025175,1.2649671687910389,לא יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.4737948502432267,3011,9.245321340871428,center
כפר יאסיף,507,28.42,0.95,71.82,68.51,20.97,33.6,3.08,217,41.01,10.27,3.2,-0.24,-0.06,-0.02,-1.11,-0.72,-1.85731148,,24,2.0,10244.0,58.0,0.2801471407660494,1.808965126810188,1.7894833031406394,16.175322139789145,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.7826684937668733,1555,9.234447447319416,north_west
בועיינה-נוג'ידאת,482,23.88,1.11,64.56,45.63,10.68,31.8,2.91,255,37.65,10.6,3.18,-0.97,-0.63,-1.24,-0.98,-1.11,-1.830999085,,25,2.0,9996.0,216.0,0.49159592149194536,1.4285153968334925,1.1657475170626308,1.5406162464985995,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.8711194252189695,616,9.209940291954844,far_east_north
מיתר,"1,268",29.14,,88.24,84.97,63.52,50.0,4.63,196,37.24,13.49,2.44,2.33,2.25,1.55,1.03,1.63,-1.87227343,,62,1.0,9980.0,457.0,-0.14278850966013656,2.4052928764826906,3.812392557421007,2.414829659318637,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.8362815066867774,568,9.20833836930551,south
ביר אל-מכסור,998,23.81,,41.67,33.33,7.88,15.5,1.74,234,36.75,11.74,2.81,-1.2,-1.15,-1.56,-0.71,-1.14,-1.7923043859999999,,24,2.0,9730.0,243.0,0.3488732757770775,0.712723797267331,0.8234179172781745,1.6238437821171636,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9693673912784224,1555,9.18296917518005,north_west
חצור הגלילית,"2,034",19.76,1.43,50.78,38.28,13.11,19.2,2.25,287,34.84,7.96,3.8,-1.02,-0.94,-0.43,0.41,-0.55,-1.9032291890000002,,21,1.0,9569.0,431.0,0.9449189601554655,0.9388487941047309,1.1947937637651336,2.8216114536524195,יהודי,צפת,0.0,3.6,3.1,10.6,13.4,11.2,3.9,4.1,0.0,1.5,0.9,8.6,4.5,8.0,3.7,0.0,0.0,14.8,6.8,1.3034470168227357,778,9.166283985779263,far_east_north
קרני שומרון,"3,640",27.64,0.86,76.32,67.54,38.94,,4.64,246,35.37,8.85,3.5,0.73,0.82,0.76,0.19,0.55,-1.817584923,,73,1.0,9417.0,316.0,0.33339495212557735,1.8720777110773856,2.6975628295112846,1.1468620579802484,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,,1.5403731863093812,892,9.150271845510064,jerusalem
כסרא-סמיע,"1,296",24.48,1.24,93.29,55.7,13.11,18.3,2.47,245,35.51,8.92,3.58,-1.33,-1.17,-1.87,-0.97,-1.41,-1.8433813890000001,,24,2.0,8965.0,624.0,0.5611998974263254,1.5896664720070037,0.8849371283920763,1.3385387618516453,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.4309545685751603,778,9.101083386039234,north_west
אורנית,"3,760",27.74,0.8,83.7,78.52,48.79,,3.45,169,42.6,17.55,1.8,1.11,1.23,0.95,0.97,1.65,0.20227835600000002,,73,1.0,8965.0,125.0,-0.23360477247987554,2.0789105054868657,2.928254819861832,1.1042944785276074,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,,0.4818406167450106,892,9.101083386039234,jerusalem
כוכב יאיר,"1,224",26.49,0.3,93.37,89.16,62.77,55.0,5.24,115,51.3,17.92,1.73,2.17,2.12,1.44,0.82,1.21,-0.56439261,,42,1.0,8735.0,95.0,0.004364411804779422,2.7225239750345613,3.778140479238301,1.9004006868918146,יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.3964520401420327,4024,9.075093222568157,center
עילוט,511,24.22,2.87,62.58,50.32,2.94,16.0,1.17,197,28.93,11.55,2.82,-1.41,-0.87,-1.86,0.19,-0.45,-1.66848135,,25,2.0,8537.0,275.0,0.16448437005173866,0.9894796161762798,0.6569874222216397,22.361485299285462,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.8729750469307421,1494,9.052164937010307,far_east_north
משהד,520,25.73,,65.08,49.21,10.59,35.0,2.7,226,33.19,10.68,2.91,-1.11,-0.55,-1.14,-0.57,-0.9,-1.807782266,,25,2.0,8486.0,270.0,0.2082091520894932,1.4907697568243008,1.142221025523419,1.6733443318406787,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.7651474967750816,1494,9.04617302576227,far_east_north
זרזיר,975,24.53,,59.73,44.97,10.02,23.0,2.2,188,35.64,12.12,2.74,-1.37,-1.2,-1.33,-1.13,-1.36,-1.699953038,,23,2.0,8275.0,183.0,0.24750131969734124,1.1700220119295777,0.8810712681248859,21.365558912386707,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.0230361560824042,1494,9.020994200245264,far_east_north
בסמת טבעון,944,22.94,0.73,63.01,45.89,8.11,29.5,2.05,164,36.59,12.78,2.53,-1.38,-1.44,-1.26,-0.39,-1.25,-1.6958256040000002,,23,2.0,7997.0,189.0,0.299468621133976,1.413200873909926,0.8039318817136848,4.064024009003376,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.6630609306454107,2369,8.98682175033189,far_east_north
אלפי מנשה,"3,750",29.09,0.45,81.2,75.21,36.51,,2.56,124,40.32,17.73,1.76,0.56,1.06,0.81,1.07,1.39,-0.20324208800000002,,73,1.0,7997.0,183.0,-0.3871897579878023,2.0522436270255877,2.4872835858834716,1.6631236713767663,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,,0.4072075004232764,4024,8.98682175033189,jerusalem
רמת ישי,122,30.32,0.44,79.8,75.76,52.18,,4.76,80,37.5,20.69,1.43,1.27,1.27,0.96,0.89,1.06,-1.6932459569999998,,23,1.0,7897.0,93.0,-0.7131918115740178,2.0444373575167973,3.1414888927902638,1.4815752817525643,יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.9565436380616026,2369,8.97423821949758,far_east_north
ראמה,543,27.24,0.9,75.0,62.88,20.53,38.7,3.39,216,27.78,8.22,3.88,-0.34,-0.16,-0.06,-0.68,-0.48,-1.816037135,,24,2.0,7792.0,382.0,0.31017248874630315,1.8778230191254766,1.762993318749211,1.1678644763860369,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.6348015543098668,778,8.960852845322371,north_west
אבו גוש,472,22.58,4.93,59.29,37.17,13.03,,3.74,183,33.33,9.91,3.06,-1.22,-1.05,-1.0,-1.64,-1.72,-1.3816246490000001,,11,2.0,7771.0,686.0,0.48223176996688605,0.9264602535422413,1.174695174065926,2.7795650495431734,לא יהודי,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.0875882481836978,1206,8.958154135209242,jerusalem
עומר,666,28.66,0.83,86.89,83.61,59.72,,4.06,135,42.22,14.23,2.31,2.51,4.04,1.83,2.14,1.95,-1.8093300540000001,,62,1.0,7570.0,331.0,-0.06237279779784177,2.1662567280669767,4.116435264149986,13.091149273447819,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.7728732839709177,568,8.931948346431495,south
קצרין,"4,100",23.58,2.01,66.67,54.05,17.46,,3.36,169,37.87,10.17,3.1,-0.15,-0.02,0.2,0.96,0.68,-1.9047769769999998,,29,1.0,7500.0,331.0,0.5128897519761112,1.4988009284213681,1.8242793456770419,2.7333333333333334,יהודי,גולן,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,1.5393598752344864,778,8.922658299524402,far_east_north
קריית ארבע,"3,611",20.85,2.11,68.33,55.0,26.43,35.7,4.5,365,39.18,5.69,4.96,0.33,-0.17,0.45,0.21,-0.16,-1.9047769769999998,,77,1.0,7338.0,913.0,1.3199871865870834,1.5381143374759612,2.1805655668068606,2.1804306350504223,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,,0.8180315702172897,892,8.900821604915228,jerusalem
בית דגן,466,29.0,0.7,85.84,79.65,26.05,42.5,3.13,51,37.25,33.28,0.9,0.08,-0.12,0.15,0.91,2.29,3.3437719710000002,,43,1.0,7299.0,34.0,-1.2121258132202994,2.2690758619148985,1.9581516947357072,1.0686395396629675,יהודי,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,0.0,0.0,10.0,,0.3551320093546036,5812,8.895492631451633,center
זמר,"1,290",24.76,1.56,57.86,52.14,12.73,33.6,2.7,139,41.73,12.79,2.62,-0.94,-0.91,-0.78,-0.91,-0.69,-1.856795551,,41,2.0,7252.0,86.0,0.30957908659704436,1.4143937513251301,1.2015709695978865,2.564809707666851,לא יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.20673755756497456,4024,8.889032571874742,center
שעב,538,23.58,2.82,51.24,36.36,9.96,,2.9,159,34.59,11.48,2.99,-0.89,-0.75,-1.47,-1.41,-1.41,-1.8217123569999998,,24,2.0,7228.0,52.0,0.36972562951996235,1.0529105738361269,1.116940552277318,2.684006640841173,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9213282296392521,1555,8.885717651712119,north_west
"בני עי""ש","1,066",26.43,1.75,66.28,51.16,12.23,,2.25,,,,,0.47,-0.49,0.29,-0.32,-0.32,-1.635977803,,44,1.0,6925.0,75.0,0.19610570395489602,1.4898815037182809,1.7218924167023977,3.7256317689530687,יהודי,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4516577233328558,0,8.842893331055539,center
יאנוח-ג'ת,"1,295",23.43,2.27,82.76,60.34,16.21,35.4,2.82,161,47.83,10.13,3.35,-0.61,-1.21,-0.77,-1.52,-0.99,-1.8402858130000002,,24,2.0,6775.0,466.0,0.7950665638167933,1.7292225692073613,1.2877365248965733,1.8597785977859778,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.3395885259144469,778,8.820994645747902,north_west
שלומי,812,27.6,,66.0,54.0,16.21,,2.11,114,36.84,12.91,2.51,-0.53,-0.69,0.09,0.52,0.27,-1.869693784,,24,1.0,6754.0,72.0,-0.012204012111493245,1.5447831275334696,1.466167971819681,1.2140953509031684,יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9902291670285156,1555,8.817890200945513,north_west
להבים,"1,271",28.79,0.55,87.5,82.81,70.26,58.3,6.35,,,,,1.75,2.35,1.69,0.43,1.24,-1.78920881,,62,1.0,6694.0,296.0,0.04033012639714029,2.622772923170089,3.9676136652239107,5.781296683597251,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.7941092049623539,568,8.808966881771273,south
בוקעאתא,"4,001",23.43,,84.75,66.95,6.18,,2.62,151,44.37,9.99,3.38,-0.88,-0.84,-1.38,-2.76,-1.52,-1.9042610480000002,,29,2.0,6665.0,1096.0,0.7334876989610792,1.8885933853529808,1.0358109998388785,,לא יהודי,גולן,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,0.9906939365795382,778,8.804625232612809,far_east_north
פרדסייה,171,27.89,0.95,90.8,78.16,48.06,48.2,4.3,,,,,0.01,-0.15,0.65,0.46,0.86,-1.213947621,,41,1.0,6641.0,52.0,0.09973606699119963,2.3821884581155537,2.4381492403273515,5.104652913717814,יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.3768168341760199,3185,8.801017833540714,center
ג'ולס,485,24.0,0.78,71.3,62.96,19.55,,3.97,127,46.46,10.75,2.92,1.98,2.18,1.25,0.67,0.68,-1.8361583780000001,,24,2.0,6567.0,111.0,0.6048519454913004,1.7760865358158782,2.9685701371778825,37.536165676869196,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.8280201056775228,1555,8.789812386190972,north_west
חורפיש,496,24.11,,91.15,81.42,22.69,44.5,4.37,158,34.18,9.62,3.36,-0.42,-0.36,-0.44,-1.15,-1.06,-1.852152187,,24,2.0,6490.0,677.0,0.48027962724540507,2.2977420586038857,1.7703052332437903,1.4021571648690292,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.48192360368298,778,8.778017809698136,north_west
קריית יערים,"1,137",24.88,1.69,24.07,18.52,15.67,,2.13,87,18.39,13.98,1.5,-0.4,0.7,0.52,-0.92,-0.47,-1.380076861,,11,1.0,6238.0,710.0,-0.501508673652413,0.683537951193176,1.8083552367366842,1.2023084321898045,יהודי,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.1226293384324135,1206,8.738414897167749,jerusalem
שבלי - אום אל-גנם,913,24.93,6.19,56.25,45.83,11.03,,2.26,159,43.4,12.46,2.55,-1.22,-1.36,-1.13,-1.12,-1.22,-1.80417076,,23,2.0,6151.0,179.0,0.3294566500431618,0.8577761930465729,0.9371523965122496,,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.302010047158262,1494,8.724369949208368,far_east_north
פקיעין (בוקייעה),536,25.85,0.55,92.71,88.54,20.12,43.1,3.62,106,28.3,11.16,2.84,0.17,-0.1,-0.33,-0.72,-0.43,-1.852668116,,24,2.0,5975.0,618.0,0.062305472666144834,2.4675677074250233,1.8682434640895151,,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.536112996379988,778,8.695339376799712,north_west
עיילבון,530,29.22,1.56,55.34,47.57,21.47,,3.54,98,37.76,13.22,2.6,0.22,0.23,-0.32,-1.0,-0.47,-1.8444132469999999,,22,2.0,5787.0,173.0,-0.08964858550959531,1.3531796209241889,1.9543716532415554,1.434249179194747,לא יהודי,כנרת,1.0,3.4,0.0,11.9,14.3,14.3,5.5,3.0,0.0,1.6,1.3,7.7,4.2,11.7,5.6,0.0,0.0,10.2,2.5,1.1242975902159138,616,8.663369301573839,far_east_north
בית אל,"3,574",27.5,0.82,89.76,79.53,47.92,39.3,6.44,320,50.31,6.71,4.49,1.17,0.76,0.96,0.02,-0.28,-1.886203522,,74,1.0,5684.0,853.0,0.970805439938929,2.2392590072730547,3.1125370041081046,22.67769176636172,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,,0.6066587160272188,892,8.64541048921699,jerusalem
כעביה-טבאש-חג'אג'רה,978,26.27,0.4,66.67,45.19,12.83,,2.61,135,43.7,12.06,2.72,-0.78,-1.29,-1.22,0.67,-1.13,-1.695309674,,25,2.0,5624.0,164.0,0.3018016913269891,1.5695258418302465,1.0977252177267842,2.0092460881934566,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.926711239684648,1494,8.6347984334905,far_east_north
כפר ורדים,"1,263",28.23,,82.46,80.7,55.31,,4.45,165,48.48,7.52,4.2,2.17,1.92,1.53,0.84,1.86,-1.841833601,,24,1.0,5492.0,533.0,0.7862094050921324,2.0165575386311323,3.575025895082968,4.09686817188638,יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.2254246831340314,778,8.61104776688786,north_west
מצפה רמון,99,18.38,2.22,87.93,75.86,22.75,30.9,3.28,159,27.04,7.64,3.66,-0.72,-0.74,0.22,0.32,-0.43,-1.769087567,,62,1.0,5185.0,712.0,0.8486084392168665,1.8805020777217272,1.6322063401962614,4.127290260366442,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.955155804107489,568,8.553525120663627,south
קדומים,"3,557",24.13,1.56,84.78,77.17,54.37,,4.17,216,47.69,6.94,4.15,0.78,1.38,0.85,0.39,-0.09,-1.9047769769999998,,73,1.0,4586.0,417.0,1.0492950769808624,1.9957320248152701,3.009274245752935,1.439162668992586,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,,0.3039407368128855,892,8.43076346341785,jerusalem
