עיר,שנות_לימוד_ערך,עובדים_אקדמאים_מנהלים_ערך,בוגרי_אדקמיה_ערך,משכורת_ערך,אינטרנט_ערך,עבודה_10,פריפריה_ערך
כפר ורדים,2.17,1.92,1.53,0.84,1.86,-1.841833601,
כפר יאסיף,-0.24,-0.06,-0.02,-1.11,-0.72,-1.85731148,
כפר יונה,0.77,0.47,0.64,0.75,1.14,-1.5549769,
כפר כמא,-0.46,-1.31,-0.28,-0.73,-0.81,-1.837706166,
כפר כנא,-1.19,-0.89,-1.16,-1.43,-1.1,-1.813973417,
כפר מנדא,-1.18,-0.76,-1.31,-0.51,-1.09,-1.785081376,
כפר סבא,1.02,0.71,0.76,0.89,0.85,3.490295898,
כפר קאסם,-0.62,-0.36,-0.63,-1.33,-0.77,1.596319372,
כפר קרע,-0.37,-0.23,-0.1,-0.29,-0.69,-1.724201716,
כפר תבור,1.34,1.49,1.09,1.35,1.96,-1.827903509,
כרמיאל,0.15,-0.18,0.61,0.97,0.77,-1.808814124,
להבים,1.75,2.35,1.69,0.43,1.24,-1.78920881,
לוד,-0.67,-0.88,-0.56,0.14,-0.23,-0.65519617,
לקיה,-1.64,-1.15,-1.87,-0.81,-0.99,-1.787661022,
מבשרת ציון,0.73,1.2,0.8,0.86,0.97,-1.423414924,
מג'דל שמס,-0.98,-0.81,-0.85,-1.53,-1.23,-1.904776977,
מגאר,-0.45,-0.59,-0.15,0.52,-0.1,-1.845445106,
מגדל העמק,-0.54,-0.49,-0.64,-1.86,-1.48,-1.702532685,
מודיעין עילית,1.79,1.56,1.31,0.02,0.6,-1.786629164,
מזכרת בתיה,1.28,1.35,1.04,0.61,0.95,-1.492033523,
מזרעה,-1.23,-1.08,-1.16,-0.84,-1.21,-1.884655734,
מיתר,2.33,2.25,1.55,1.03,1.63,-1.87227343,
מסעדה,-1.09,-0.94,-1.23,-2.8,-1.7,-1.904776977,
מעיליא,0.28,0.8,0.59,-0.37,-0.03,-1.848540682,
מעלה אדומים,0.1,-0.21,0.33,-0.35,-0.31,-1.643200813,
מעלות-תרשיחא,-0.26,-0.67,0.28,0.28,-0.28,-1.848540682,
מצפה רמון,-0.72,-0.74,0.22,0.32,-0.43,-1.769087567,
משהד,-1.11,-0.55,-1.14,-0.57,-0.9,-1.807782266,
נהרייה,0.04,-0.2,0.31,0.69,0.27,-1.890330956,
נחף,-0.99,-0.9,-1.03,-1.7,-1.58,-1.809845983,
נס ציונה,0.52,0.6,0.55,0.34,0.4,-1.309910474,
נצרת,-0.57,-0.44,-0.55,-0.71,-0.74,-1.808298195,
נשר,0.83,0.55,0.84,0.89,0.62,-1.336738799,
