settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,dist_num,religion_num,overall_population_2020,altitude_avg,crime_score_percent,religion,district_name,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,B-C,A,nature_rate,job_demands,log_population,large_district
ראש העין,"2,640",26.13,0.81,75.25,67.95,34.39,38.4,3.16,"1,043",38.45,11.41,2.65,0.25,0.29,0.49,-0.11,0.33,4.158424364,,42,1.0,67624.0,83.0,2.16934816041642,יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.8186582688029171,3012,11.121718228608763,center
הוד השרון,"9,700",30.15,1.39,86.5,81.11,54.35,52.1,3.18,"1,137",43.98,11.75,2.65,1.52,1.51,1.09,0.96,1.25,4.147589848,,42,1.0,64489.0,37.0,3.9386562049341745,יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.6484683852685377,4024,11.074249945604157,center
ביתר עילית,"3,780",25.33,1.91,11.14,6.71,5.91,19.3,0.93,"1,334",10.94,15.77,2.07,-1.08,-0.53,0.11,-2.04,-0.95,-1.425478641,,76,1.0,61125.0,701.0,1.4118609406952964,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,1.0047111782062188,892,11.020676226777173,jerusalem
גבעתיים,"6,300",29.79,0.71,92.79,87.17,55.35,52.2,4.1,755,42.25,14.58,2.05,0.13,0.09,0.48,0.13,0.44,4.389560698,,52,1.0,61061.0,42.0,1.9423199751068605,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.3948735635695925,6543,11.019628643488533,center
קריית אתא,"6,800",28.09,1.38,76.96,60.09,20.88,42.5,2.53,953,36.1,11.3,2.73,-0.5,-0.57,-0.01,0.7,0.3,-1.454886612,0.8442206609999999,31,1.0,59364.0,35.0,2.765986119533724,יהודי,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.8379554154551593,2369,10.991443261015709,north_west
נהרייה,"9,100",27.68,1.3,71.49,59.84,21.25,39.7,2.64,931,39.63,12.01,2.66,0.04,-0.2,0.31,0.69,0.27,-1.890330956,,24,1.0,59156.0,24.0,3.3741294205152474,יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.0804438839696024,1555,10.98793330128666,north_west
קריית גת,"2,630",24.56,1.13,63.8,50.95,13.83,23.4,2.14,"1,113",35.13,10.2,3.15,-0.69,-0.86,-0.27,0.2,-0.11,-1.8392539540000001,0.937558922,61,1.0,58482.0,128.0,4.584316541841934,יהודי,אשקלון,1.1,3.4,1.6,12.3,11.8,10.6,4.5,3.8,0.4,2.2,2.7,3.7,5.7,10.3,5.9,0.3,0.7,16.9,1.9,0.6201199801993813,1733,10.976474293565264,south
אום אל-פחם,"2,710",26.75,1.09,59.4,44.16,8.52,23.3,2.11,"1,438",31.36,10.54,3.07,-1.18,-0.83,-1.3,-1.33,-1.1,-1.8908468859999998,,32,2.0,56777.0,310.0,0.07221233950367226,לא יהודי,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.5433044789718516,1494,10.946886593125658,north_west
עפולה,"7,700",24.77,1.58,65.64,51.28,16.57,33.5,2.89,"1,026",35.58,9.14,3.39,-0.54,-0.74,-0.24,0.69,0.31,-1.84234953,0.873613557,23,1.0,56769.0,144.0,4.4619422572178475,יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.4277417122795801,1494,10.94674568107216,far_east_north
אילת,"2,600",24.89,1.8,66.28,59.65,10.82,23.1,1.89,971,36.66,10.77,3.24,-0.69,-0.67,-0.08,0.6,0.59,-1.898585826,0.796197633,62,1.0,52519.0,164.0,8.751118642776898,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.3709214511098131,139,10.868930287869887,south
