סמל היישוב,שם יישוב,"ממוצע תלמידים לכיתה בבתי ספר יסודיים תשע""ט 2018/19","אחוז תלמידים נושרים סה""כ תשע""ט 2018/19","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ט 2018/19","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תשע""ט 2018/19","השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35 תש""ף 2019/20","השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב תש""ף 2019/20","השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה תש""ף 2019/20",עובדי הוראה מספר עובדי הוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
494,דאלית אל-כרמל,26.13,0.75,82.45,62.86,14.85,27.4,3.11,290,46.9,13.47,2.33
489,דבורייה,26.26,0.53,59.36,51.6,16.21,40,3.35,208,38.94,13.5,2.47
490,דייר אל-אסד,26.13,1.34,65.16,55.2,13.04,27,2.94,243,37.04,13.22,2.59
492,דייר חנא,25.21,2.28,89.33,67.98,15.33,29.4,3.32,200,40.5,12.39,2.61
"2,200",דימונה,22.13,1.83,69.33,56.08,11.67,26,2.09,765,38.95,9.46,3.51
"9,700",הוד השרון,30.15,1.39,86.5,81.11,54.35,52.1,3.18,"1,137",43.98,11.75,2.65
"3,769",הר אדר,27.11,..,90.48,88.1,55.7,..,4.97,..,..,..,..
"6,400",הרצלייה,28.05,1.35,84.38,77.68,44.95,51.1,3.4,"1,522",41.85,10.59,2.89
"9,300",זכרון יעקב,26.7,1.11,85.53,81.65,52.58,49.3,3.56,511,38.75,12.09,2.34
"1,290",זמר,24.76,1.56,57.86,52.14,12.73,33.6,2.7,139,41.73,12.79,2.62
975,זרזיר,24.53,..,59.73,44.97,10.02,23,2.2,188,35.64,12.12,2.74
"6,500",חדרה,26.42,1.12,68.27,57.54,22.25,31.4,2.24,"1,767",34.8,10.37,2.91
"6,600",חולון,28.11,0.95,76.67,65.17,23.15,41.4,2.3,"2,905",38.38,12.27,2.63
"1,303",חורה,25.9,2.72,54.46,41.23,10.6,23,1.99,733,22.37,7.48,4.57
496,חורפיש,24.11,..,91.15,81.42,22.69,44.5,4.37,158,34.18,9.62,3.36
"4,000",חיפה,26.5,1.3,74.74,64.84,33.89,46.7,4.81,"4,669",41.34,9.83,3.07
"2,034",חצור הגלילית,19.76,1.43,50.78,38.28,13.11,19.2,2.25,287,34.84,7.96,3.8
"1,247",חריש,22.65,2.74,64.29,59.52,28.99,..,1.76,177,21.47,12.3,2.16
"6,700",טבריה,24.05,2,61.43,41.47,10.07,29.1,1.84,984,34.25,9.2,3.43
962,טובא-זנגרייה,24.12,1.36,62.7,42.86,6.86,..,2.02,153,42.48,11.31,3.02
498,טורעאן,26.05,3.51,65.27,51.88,14.52,26.9,2.89,307,24.76,11.91,2.65
"2,730",טייבה,27.11,2.09,74.28,60.63,13.49,29.9,3.01,918,40.2,11.67,2.74
"2,720",טירה,26.18,0.47,62.48,49.71,16.47,34.1,3.05,590,35.59,10.08,3.17
"2,100",טירת כרמל,23.09,0.95,75.53,59.92,17.39,24.3,2.21,432,33.33,9.14,3.51
"8,900",טמרה,25.87,0.47,60.25,45.63,12.19,31.3,2.88,906,36.42,9.69,3.37
